Texto,Sentimiento_Real
"El producto está bien, cumple su función.",Neutro
"Llegó a tiempo, pero el empaque estaba algo golpeado.",Neutro
"Excelente producto, muy recomendado.",Positivo
"No está mal, pero los materiales podrían mejorar.",Neutro
"La mejor compra que he hecho, estoy muy feliz.",Positivo
"Excelente producto, muy recomendado.",Positivo
"Todo perfecto, funciona de maravilla.",Positivo
"No está mal, pero los materiales podrían mejorar.",Neutro
"Todo perfecto, funciona de maravilla.",Positivo
"La mejor compra que he hecho, estoy muy feliz.",Positivo
"El producto está bien, cumple su función.",Neutro
"Llegó a tiempo, pero el empaque estaba algo golpeado.",Neutro
"Es normal, nada fuera de lo común.",Neutro
"Me encantó, superó todas mis expectativas.",Positivo
"Muy mala calidad, se dañó al primer uso.",Negativo
"La mejor compra que he hecho, estoy muy feliz.",Positivo
Muy buena calidad y entrega rápida.,Positivo
"El producto está bien, cumple su función.",Neutro
"No está mal, pero los materiales podrían mejorar.",Neutro
"La mejor compra que he hecho, estoy muy feliz.",Positivo
Muy buena calidad y entrega rápida.,Positivo
Definitivamente una pérdida de tiempo y plata.,Negativo
"Muy mala calidad, se dañó al primer uso.",Negativo
"El producto está bien, cumple su función.",Neutro
"Me encantó, superó todas mis expectativas.",Positivo
"El producto está bien, cumple su función.",Neutro
"Pésima experiencia, no lo recomiendo para nada.",Negativo
"La mejor compra que he hecho, estoy muy feliz.",Positivo
"Es normal, nada fuera de lo común.",Neutro
Muy buena calidad y entrega rápida.,Positivo
Muy buena calidad y entrega rápida.,Positivo
"El producto está bien, cumple su función.",Neutro
"Llegó a tiempo, pero el empaque estaba algo golpeado.",Neutro
"Llegó a tiempo, pero el empaque estaba algo golpeado.",Neutro
"La mejor compra que he hecho, estoy muy feliz.",Positivo
"Todo perfecto, funciona de maravilla.",Positivo
Muy buena calidad y entrega rápida.,Positivo
"Pésima experiencia, no lo recomiendo para nada.",Negativo
"Excelente producto, muy recomendado.",Positivo
"No sirve, quiero un reembolso de mi dinero ya.",Negativo
"Me encantó, superó todas mis expectativas.",Positivo
Definitivamente una pérdida de tiempo y plata.,Negativo
"Muy mala calidad, se dañó al primer uso.",Negativo
"La mejor compra que he hecho, estoy muy feliz.",Positivo
"La mejor compra que he hecho, estoy muy feliz.",Positivo
"Me encantó, superó todas mis expectativas.",Positivo
"Todo perfecto, funciona de maravilla.",Positivo
"No está mal, pero los materiales podrían mejorar.",Neutro
"Todo perfecto, funciona de maravilla.",Positivo
"Me encantó, superó todas mis expectativas.",Positivo
El producto llegó roto y la atención fue horrible.,Negativo
"El producto está bien, cumple su función.",Neutro
"El producto está bien, cumple su función.",Neutro
"Me encantó, superó todas mis expectativas.",Positivo
"Por el precio está aceptable, ni bien ni mal.",Neutro
"Por el precio está aceptable, ni bien ni mal.",Neutro
"La mejor compra que he hecho, estoy muy feliz.",Positivo
"No está mal, pero los materiales podrían mejorar.",Neutro
"Pésima experiencia, no lo recomiendo para nada.",Negativo
"El producto está bien, cumple su función.",Neutro
"No está mal, pero los materiales podrían mejorar.",Neutro
"Es normal, nada fuera de lo común.",Neutro
"La mejor compra que he hecho, estoy muy feliz.",Positivo
"Excelente producto, muy recomendado.",Positivo
"Muy mala calidad, se dañó al primer uso.",Negativo
El producto llegó roto y la atención fue horrible.,Negativo
"El producto está bien, cumple su función.",Neutro
"Muy mala calidad, se dañó al primer uso.",Negativo
Definitivamente una pérdida de tiempo y plata.,Negativo
"Llegó a tiempo, pero el empaque estaba algo golpeado.",Neutro
"Me encantó, superó todas mis expectativas.",Positivo
"No está mal, pero los materiales podrían mejorar.",Neutro
Definitivamente una pérdida de tiempo y plata.,Negativo
"Excelente producto, muy recomendado.",Positivo
Muy buena calidad y entrega rápida.,Positivo
"Muy mala calidad, se dañó al primer uso.",Negativo
"Me encantó, superó todas mis expectativas.",Positivo
"Pésima experiencia, no lo recomiendo para nada.",Negativo
"La mejor compra que he hecho, estoy muy feliz.",Positivo
Definitivamente una pérdida de tiempo y plata.,Negativo
"Llegó a tiempo, pero el empaque estaba algo golpeado.",Neutro
"No está mal, pero los materiales podrían mejorar.",Neutro
"Todo perfecto, funciona de maravilla.",Positivo
"No sirve, quiero un reembolso de mi dinero ya.",Negativo
Definitivamente una pérdida de tiempo y plata.,Negativo
"Llegó a tiempo, pero el empaque estaba algo golpeado.",Neutro
"Por el precio está aceptable, ni bien ni mal.",Neutro
"Muy mala calidad, se dañó al primer uso.",Negativo
"Todo perfecto, funciona de maravilla.",Positivo
"Me encantó, superó todas mis expectativas.",Positivo
Muy buena calidad y entrega rápida.,Positivo
"Todo perfecto, funciona de maravilla.",Positivo
"Me encantó, superó todas mis expectativas.",Positivo
"Excelente producto, muy recomendado.",Positivo
"Excelente producto, muy recomendado.",Positivo
"Pésima experiencia, no lo recomiendo para nada.",Negativo
"Es normal, nada fuera de lo común.",Neutro
"Llegó a tiempo, pero el empaque estaba algo golpeado.",Neutro
"No está mal, pero los materiales podrían mejorar.",Neutro
"Llegó a tiempo, pero el empaque estaba algo golpeado.",Neutro
"Por el precio está aceptable, ni bien ni mal.",Neutro
"Excelente producto, muy recomendado.",Positivo
"Es normal, nada fuera de lo común.",Neutro
"La mejor compra que he hecho, estoy muy feliz.",Positivo
"Pésima experiencia, no lo recomiendo para nada.",Negativo
"El producto está bien, cumple su función.",Neutro
Muy buena calidad y entrega rápida.,Positivo
"Pésima experiencia, no lo recomiendo para nada.",Negativo
"Me encantó, superó todas mis expectativas.",Positivo
"Llegó a tiempo, pero el empaque estaba algo golpeado.",Neutro
Muy buena calidad y entrega rápida.,Positivo
"Excelente producto, muy recomendado.",Positivo
"Todo perfecto, funciona de maravilla.",Positivo
"Todo perfecto, funciona de maravilla.",Positivo
"Pésima experiencia, no lo recomiendo para nada.",Negativo
El producto llegó roto y la atención fue horrible.,Negativo
"La mejor compra que he hecho, estoy muy feliz.",Positivo
"La mejor compra que he hecho, estoy muy feliz.",Positivo
El producto llegó roto y la atención fue horrible.,Negativo
